ROUGE-Type,Task Name,System Name,Avg_Recall,Avg_Precision,Avg_F-Score,Num Reference Summaries
ROUGE-L+StopWordRemoval,31105,SYSTEM1.TXT,0.20580,0.38783,0.26891,3

ROUGE-SU4+StopWordRemoval,31105,SYSTEM1.TXT,0.11152,0.22529,0.14919,3

ROUGE-1+StopWordRemoval,31589,SYSTEM1.TXT,0.26631,0.43464,0.33027,6

ROUGE-2+StopWordRemoval,31589,SYSTEM1.TXT,0.12634,0.15255,0.13821,6

ROUGE-L+StopWordRemoval,31589,SYSTEM1.TXT,0.16366,0.30479,0.21296,6

ROUGE-SU4+StopWordRemoval,31589,SYSTEM1.TXT,0.16377,0.21911,0.18744,6

ROUGE-1+StopWordRemoval,32557,SYSTEM1.TXT,0.14465,0.48451,0.22278,4

ROUGE-2+StopWordRemoval,32557,SYSTEM1.TXT,0.02834,0.10328,0.04448,4

ROUGE-L+StopWordRemoval,32557,SYSTEM1.TXT,0.13102,0.32486,0.18673,4

ROUGE-SU4+StopWordRemoval,32557,SYSTEM1.TXT,0.06650,0.21833,0.10195,4

ROUGE-1+StopWordRemoval,32437,SYSTEM1.TXT,0.43983,0.05620,0.09967,3

ROUGE-2+StopWordRemoval,32437,SYSTEM1.TXT,0.10079,0.01457,0.02546,3

ROUGE-L+StopWordRemoval,32437,SYSTEM1.TXT,0.32871,0.04881,0.08500,3

ROUGE-SU4+StopWordRemoval,32437,SYSTEM1.TXT,0.24849,0.01977,0.03663,3

ROUGE-1+StopWordRemoval,33070,SYSTEM1.TXT,0.24516,0.37468,0.29638,4

ROUGE-2+StopWordRemoval,33070,SYSTEM1.TXT,0.06797,0.10896,0.08371,4

ROUGE-L+StopWordRemoval,33070,SYSTEM1.TXT,0.20938,0.25256,0.22896,4

ROUGE-SU4+StopWordRemoval,33070,SYSTEM1.TXT,0.10622,0.18360,0.13458,4

ROUGE-1+StopWordRemoval,31333,SYSTEM1.TXT,0.27374,0.50970,0.35619,3

ROUGE-2+StopWordRemoval,31333,SYSTEM1.TXT,0.09659,0.20567,0.13145,3

ROUGE-L+StopWordRemoval,31333,SYSTEM1.TXT,0.23489,0.39338,0.29414,3

ROUGE-SU4+StopWordRemoval,31333,SYSTEM1.TXT,0.14369,0.26567,0.18651,3

ROUGE-1+StopWordRemoval,32545,SYSTEM1.TXT,0.14398,0.46793,0.22021,4

ROUGE-2+StopWordRemoval,32545,SYSTEM1.TXT,0.04720,0.14910,0.07171,4

ROUGE-L+StopWordRemoval,32545,SYSTEM1.TXT,0.13469,0.29976,0.18586,4

ROUGE-SU4+StopWordRemoval,32545,SYSTEM1.TXT,0.08418,0.23484,0.12394,4

ROUGE-1+StopWordRemoval,32424,SYSTEM1.TXT,0.26393,0.41105,0.32146,4

ROUGE-2+StopWordRemoval,32424,SYSTEM1.TXT,0.09647,0.13017,0.11081,4

ROUGE-L+StopWordRemoval,32424,SYSTEM1.TXT,0.22181,0.28195,0.24829,4

ROUGE-SU4+StopWordRemoval,32424,SYSTEM1.TXT,0.14485,0.18470,0.16237,4

ROUGE-1+StopWordRemoval,32543,SYSTEM1.TXT,0.13377,0.54565,0.21486,4

ROUGE-2+StopWordRemoval,32543,SYSTEM1.TXT,0.04253,0.18644,0.06926,4

ROUGE-L+StopWordRemoval,32543,SYSTEM1.TXT,0.11418,0.36471,0.17391,4

ROUGE-SU4+StopWordRemoval,32543,SYSTEM1.TXT,0.07371,0.30583,0.11879,4

ROUGE-1+StopWordRemoval,32540,SYSTEM1.TXT,0.31134,0.37967,0.34212,3

ROUGE-2+StopWordRemoval,32540,SYSTEM1.TXT,0.13195,0.10114,0.11451,3

ROUGE-L+StopWordRemoval,32540,SYSTEM1.TXT,0.30468,0.24971,0.27447,3

ROUGE-SU4+StopWordRemoval,32540,SYSTEM1.TXT,0.17723,0.17025,0.17367,3

ROUGE-1+StopWordRemoval,32541,SYSTEM1.TXT,0.11515,0.59470,0.19294,3

ROUGE-2+StopWordRemoval,32541,SYSTEM1.TXT,0.03405,0.20971,0.05859,3

ROUGE-L+StopWordRemoval,32541,SYSTEM1.TXT,0.10962,0.42116,0.17396,3

ROUGE-SU4+StopWordRemoval,32541,SYSTEM1.TXT,0.05565,0.31184,0.09444,3

ROUGE-1+StopWordRemoval,31452,SYSTEM1.TXT,0.19357,0.41898,0.26480,5

ROUGE-2+StopWordRemoval,31452,SYSTEM1.TXT,0.05284,0.10970,0.07132,5

ROUGE-L+StopWordRemoval,31452,SYSTEM1.TXT,0.13981,0.25306,0.18011,5

ROUGE-SU4+StopWordRemoval,31452,SYSTEM1.TXT,0.09442,0.17383,0.12237,5

ROUGE-1+StopWordRemoval,31573,SYSTEM1.TXT,0.15729,0.49802,0.23907,4

